단어,뜻
soul [soul],"영혼, 정신"
spirit [spírit],정신
physical [fízikəl],신체의; 물질적인; 물리적인
assemble [ǝsémbəl],"모으다, 집합시키다"
schedule [skédʒu(ː)l/ʃédjuːl],"일정, 시간표"
navy [néivi],해군
shoulder [ʃóuldǝr],어깨
cheat [tʃiːt],"속이다, 부정행위하다"
fare [fεǝr],운임 요금
stormy [stɔ́ːrmi],폭풍의
handle [hǽndl],"다루다, 처리하다"
semester [siméstǝr],학기
tale [teil],"이야기, 설화"
tail [teil],꼬리
essential [isénʃəl],본질적인; 필수의
thin [θin],"얇은, (몸매가) 마른"
instant [ínstǝnt],"즉각적인, 즉석의"
arrest [ǝrést],체포하다
search [sǝːrtʃ],"찾다, 수색하다"
pile [pail],더미; 쌓다
surface [sə́ːrfis],표면
drag [dræg],질질 끌다
"last [læst, lɑːst]","지속하다, 오래가다; 최후의; 지난"
wide [waid],넓은
except [iksépt],~를 제외하고
within [wiðín],"~안에, 이내에"
bear – bore – born [bεǝr],"견디다, 참다; 품다, 지니다; 낳다"
detailed [díːteild],"상세한, 자세한"
whale [hweil],고래
greed [griːd],"욕심, 탐욕"
peaceful [píːsfǝl],평화로운
credit [krédit],신용
entrance [éntrǝns],입구
cliff [klif],"절벽, 낭떠러지"
court [kɔːrt],"법정, 법원; 안마당, 안뜰"
will [wil],"의지; 유서, 유언"
wire [waiǝr],"철사, 전선"
root [ruːt],"뿌리, 근원, 근본"
perform [pǝrfɔ́ːrm],수행하다
afterward [ǽftǝrwǝrd],후에
soil [sɔil],토양
riddle [rídl],수수께끼
cattle [kǽtl],"소, 소떼"
suggestion [sǝgdʒéstʃən],"제안; 암시, 시사"
blood [blʌd],"혈액, 피"
wooden [wúdn],나무로 만든
crack [kræk],"갈라지다, 금가다; 틈, 금"
engineer [èndʒǝníǝr],기술자
march [mɑːrtʃ],"행진하다, 분열(分列)하다"
individual [ìndǝvídʒuǝl],"개인의, 개인"
