단어,뜻
delight [diláit],기쁨
passion [pǽʃən],"열정, 열망; 분노, 울화"
destroy [distrɔ́i],파괴하다
spoil [spɔil],망쳐 놓다
ruin [rúːin],"망치다, 파멸시키다, 몰락시키다"
slice [slais],"(빵, 햄 등의) 얇은 조각"
even [íːvən],"심지어, 훨씬; 평평한"
advertise [ǽdvǝrtàiz],"광고하다, 널리 알리다"
ability [ǝbílǝti],"능력, 역량"
chest [tʃest],가슴
recycle [riːsáikəl],재활용하다
repeat [ripíːt],"반복하다, 되풀이하다"
review [rivjúː],"검토하다, 비평하다, 복습하다"
rat [ræt],쥐
advantage [ædvǽntidʒ],"유리, 이점, 편익"
apart [ǝpάːrt],"떨어져, 별개로"
mood [muːd],(일시적) 기분; 분위기
record [rékǝrd],"기록하다; 기록, 경력, 음반"
crash [kræʃ],충돌; 요란한 소리(와장창 따위)
rude [ruːd],"무례한, 버릇 없는"
arrival [ǝráivəl],도착
trousers [tráuzǝrz],바지
emotion [imóuʃən],감정
anxious [ǽŋkʃǝs],걱정하는(about); 열망하는(for)
puzzle [pʌ́zl],당혹케 하다
scare [skεǝr],"무섭게 하다, 겁주다"
upset [ʌpsét],화나게 하다; 뒤집다; 배탈나다
merry [méri],"즐거운, 쾌적한"
wonder [wʌ́ndǝr],놀라워하다; 궁금해 하다; 놀라움
amaze [ǝméiz],(대단해서) 놀라게 하다
shock [ʃɑk],충격
disappointed [dìsǝpɔ́intid],실망한
satisfied [sǽtisfàid],만족하는
amuse [ǝmjúːz],즐겁게 하다
amusement [ǝmjúːzmǝnt],"놀이, 오락, 즐거움"
interested [íntəristid],흥미 있는
