subversive [s?bv?ːrs?v],체제 전복적인
mutiny [mjuːt?ni],"(군인·선원) 반란, 폭동;반란[폭동]을 일으키다"
recalcitrant [r?kæls?tr?nt],(규칙·지시에) 저항하는
contumacious [k?ːntume???s],(권위에) 반항적인
refractory [r?frækt?ri],"(행실이) 불량한, 다루기 힘든;난치의"
unruly [?nruːli],"다루기 힘든, 제멋대로 구는"
get out of hand,"과도해지다, 감당할 수 없게 되다"
recede [r?siːd],"(서서히) 물러나다[멀어지다];약해지다, 희미해지다"
recess [r?ses],"(회의, 재판의) 휴식 시간[휴회, 휴정];우묵 들어간 부분"
reciprocal [r?s?pr?kl],상호간의
reciprocate [r?s?pr?ke?t],(받는 것과 비슷하게) 화답[응답]하다
reconcile [rek?nsa?l],화해시키다
attune [?tj?:n],"<마음 등을> 맞추다, 조화시키다(accord), 익숙하게 하다;<악기 등을> 조음[조율]하다"
propitate [pr?p??ie?t],달래다
appease [?piːz],달래다
pacification [pæ?s?fik?i??n],"[U] 강화, 화해,  [C] 강화 조약"
redundant [r?d?nd?nt],"불필요한, 쓸모없는;(일거리 부족으로) 정리 해고[실직]당한"
expendable [?kspend?bl],소모용의
verbose [v?ːrbo?s],장황한
tautological [t??:t?l??d?ik?l],"동어 반복의, 중언부언하는"
wordy [w?ːrdi],장황한
repetitious [?rep?t???s],"자꾸 반복되는, 장황한"
prolix [pro?l?ks],장황한
pleonastic [pliː?næz?m],용언(冗言)의[장황한]
sacked [sæk],"파면된, 해고된"
refute [r?fjuːt],논박[반박]하다
rebut [r?b?t],논박[반박]하다
confute [k?nfjuːt],(주장이) 틀렸음을 입증하다
disclaim [d?skle?m],(책임을) 부인하다
rebuttal [r?b?tl],"논박, 반박"
