단어,뜻
purport,"(사실이 아닐 수도 있는 것을) 주장하다;전반적인 뜻, 요지"
purported,(사실이 아닐지도 모르지만) …라고 알려진[진술된]
purportedly,알려지기로는
aver [?v?ː(r)],(사실이라고) 단언하다[주장하다]
allege [?led?],(증거 없이) 혐의를 제기하다[주장하다]
connotation [k?ːn?te??n],함축(된 의미)
rancid [ræns?d],(기름기가 든 음식이) 산패(酸敗)한[맛이 변한]
spoiled [sp??l],상한
fetid [fet?d],악취가 진동하는
detestable [d?test?bl],혐오[가증]스러운
rancidity [ræns?d?ti],"썩은 냄새, 악취"
ransack [rænsæk],(무엇을 찾아서 어떤 곳을 엉망으로 만들며) 뒤지다[뒤집어엎다]
loot [luːt],"(폭동화재 등이 났을 때 상점건물에서 물건을) 훔치다[약탈하다];전리품, 노획물;도난당한 귀중품"
turn upside down,(무엇을 찾느라고) ~을 엉망으로 만들다[다 뒤집어엎다];(사람의 생활을) 엉망으로 만들다
scour [ska??(r)],샅샅이 뒤지다;문질러[박박] 닦다;(오랜 기간 동안) …을 만들다[이루다]
comb [ko?m],"샅샅이[이 잡듯이] 찾다[뒤지다];빗다, 빗질하다;(수탉 머리 위의) 볏"
sack,"파면[해고]하다;파면, 해고;약탈, 횡령;(특히 과거 군대가 점령지에서) 약탈을 하다;"
sack out [sæk],"자러 가다, 잠자리에 들다"
ratify [ræt?fa?],비준[재가]하다
ratification [ræ?t?fik?i??n],"[UC] 비준, 재가,  인가, 승인,  [법] 추인(追認)"
amendment [?mendm?nt],(법 등의) 개정[수정];미국 헌법 수정 조항
rectify [rekt?fa?],(잘못된 것을) 바로잡다
rebellious [r?belj?s],(규칙·일반 통념 등에 대해) 반항적인
rebel [rebl],"반역자;반란[모반]을 일으키다, 저항[반항]하다"
rebellion [r?belj?n],"반란, 모반;(조직·정당 등의 내부의) 반대[저항]"
revel [revl],"흥청거리며 놀다, 흥청대다"
make merry [me?k],(웃고 술 마시고 노래하며) 즐겁게[떠들고] 놀다
subversive [s?bv?ːrs?v],체제 전복적인
defiant [d?fa??nt],"(공개적으로, 때로는 공격적으로) 반항[저항]하는"
insubordinate [?ns?b??:rd?nit],"순종하지 않는, 반항하는"
