단어,뜻
failure [féiljǝr],실패
succeed [sǝksíːd],성공하다(in); 계승하다(to)
tie [tai],묶다
prepare [pripέǝr],준비하다
support [sǝpɔ́ːrt],지지하다
shape [ʃeip],모양
awake [ǝwéik],깨어있는
crew [kruː],승무원
underground [ʌ́ndǝrgràund],지하
wrap [ræp],포장하다
dialogue [dáiǝlɔ̀ːg],대화
sentence [séntəns],문장
expect [ikspékt],기대하다; 예정되어 있다
unexpected [ʌ̀nikspéktid],예기치 못한
comfort [kʌ́mfǝrt],편안함
confident [kάnfidənt],"자신 있는, 확신하는"
cancel [kǽnsəl],취소하다
thoughtful [θɔ́ːtfǝl],"사려 깊은, 세심한"
native [néitiv],"토착민, 원주민"
display [displéi],"전시하다, 드러내다"
similar [símǝlǝr],비슷한
issue [íʃuː/ísjuː],"쟁점, 문제"
funeral [fjúːnərǝl],장례식
soap [soup],비누
stick [stik],막대기; 찌르다; 붙이다
industrial [indʌ́striǝl],산업의
industry [índǝstri],산업
modern [mάdǝrn],현대의
nowadays [náuədèiz],"요즘, 오늘날에는"
former [fɔ́ːrmǝr],이전의
vision [víʒən],"시력, 시각; 전망, 광경; 꿈"
visual [víʒuǝl],시각적인
view [vjuː],"견해, 관점; 조망, 관찰; 바라보다"
landscape [lǽndskèip],"풍경, 경치; 조망, 전경"
sight [sait],"시각, 시력; 조망, 경치"
site [sait],장소
inner [ínǝr],"내면의, 내부의, 안쪽의"
outer [áutǝr],"외부의, 밖의"
tongue [tʌŋ],"혀; 말, 언어"
language [lǽŋgwidʒ],언어
shore [ʃɔːr],해변
coal [koul],석탄
lay – laid – laid [lei],눕히다; 놓다; (알을) 낳다
stand [stænd],견디다; 서 있다; (어떤 입장을) 취하다
branch [bræntʃ],"나뭇가지, 가지"
level [lévəl],"정도, 수준"
tough [tʌf],"강인한, 불굴의; 힘든, 고된"
deliver [dilívǝr],배달하다
delivery [dilívəri],배달
balance [bǽlǝns],균형
