sculpture [skʌ́lptʃǝr],조각상
sculptor [skʌ́lptǝr],조각가
statue [stǽtʃuː],동상
piece [piːs],작품; 조각
trash [træʃ],쓰레기
garbage [gάːrbidʒ],쓰레기
voyage [vɔ́iidʒ],항해
reach [riːtʃ],도착하다; 도달하다
respond [rispάnd],반응하다; 답하다
wildlife [waildlaif],야생동물
sow [sou],"씨 뿌리다; 뿌리다, 퍼뜨리다"
saw [sɔː],톱질하다
sew [sou],"바느질하다, 꿰메다"
paradise [pǽrǝdàis],"천국, 낙원"
normal [nɔ́ːrməl],"정상의, 보통의"
function [fʌ́ŋḱʃən],기능
client [kláiǝnt],고객
pork [pɔːrk],돼지고기
influence [ínfluǝns],영향을 끼치다
affect [ǝfékt],영향을 주다; 감명을 주다
effect [ifékt],"효과, 영향, 결과"
speech [spiːtʃ],말; 연설
target [tάːrgit],"과녁, 표적; 목표"
run – ran – run [rʌn],운영하다; (기계) 작동하다; 흐르다
turkey [tə́ːrki],칠면조
horizon [hǝráizən],"수평선, 지평선"
pattern [pǽtǝrn],"양상, 양식, 무늬"
genius [dʒíːnjǝs],천재
cost [kɔːst],비용; 비용이 들다
mayor [méiǝr],시장
shoot [ʃuːt],쏘다
mean [miːn],"의미하다; 비열한; 중간의, 평균의"
meaningful [míːniŋfǝl],"의미 있는, 중요한"
dull [dʌl],"무딘; 둔한; 지루한, 따분한"
belong [bilɔ́(ː)ŋ],~에 속하다; ~의 소유이다
overhear [òuvǝrhíǝr],엿듣다
rate [reit],비율; 요금; 속도; 평가하다
marriage [mǽridʒ],결혼
giraffe [dʒǝrǽf],기린
nuclear [njúːkliǝr],핵(核)의; 핵무기
bulb [bʌlb],전구
highly [háili],"매우, 대단히"
let – let – let [let],"~하게 하다, 시키다"
instrument [ínstrǝmǝnt],"도구, 기구; 악기"
topic [tάpik],주제
bother [bάðǝr],괴롭히다
award [ǝwɔ́ːrd],(상을) 수여하다
prize [praiz],"상품, 경품"
current [kə́ːrǝnt],"현재의, 통용되는"
wave [weiv],파도
struggle [strʌ́gəl],"애쓰다, 버둥대다; 싸우다"
public [pʌ́blik],"공공(의), 대중(의)"
publish [pʌ́bliʃ],"공표하다, 발행하다"
bill [bil],"계산서, 청구서; 법안"
result [rizʌ́lt],결과
electricity [ilèktrísəti],전기
compare [kǝmpέǝr],비교하다; 비유하다
dew [djuː],"이슬, 방울"
unless [ǝnlés],만약 ~하지 않는다면
explode [iksplóud],폭발하다
fire [faiǝr],해고하다; 발포하다
aboard [ǝbɔ́ːrd],(배 열차 등을) 타다
grand [grænd],웅장한
perhaps [pǝrhǽps],아마도
survive [sǝrváiv],"살아남다, 살다"
survival [sǝrváivəl],생존
chat [tʃæt],잡담하다
creature [kríːtʃǝr],"(신의) 피조물, 창조물; 생물"
creative [kriːéitiv],창의적인
bet [bet],내기; 내기하다
